"Book ID","Title","Sort Character","Primary Author","ISBN","Dewey Decimal"
216698833,"The Communicator's Commentary: 1, 2, 3 John, Revelation",5,"Palmer, Earl F.","[0849901650]",225.77
216698909,"Leviticus (COMMUNICATOR'S COMMENTARY OT)",1,"Demarest, Gary W.","[0849904080]",221
216698940,"The Communicator's Commentary Numbers (COMMUNICATOR'S COMMENTARY OT)",5,"James, Philip","[0849904099]",221
216698977,"The Communicator's Commentary: Deuteronomy (COMMUNICATOR'S COMMENTARY OT)",5,"Maxwell, John D.","[0849904102]",221
216699018,"Communicators Commentary Joshua (COMMUNICATOR'S COMMENTARY OT)",1,"Huffman, John A.","[0849904110]",221.7
216699053,"The Communicator's Commentary: Judges, Ruth (COMMUNICATOR'S COMMENTARY OT)",5,"Jackman, David","[0849904129]",221
216699072,"1, 2 Samuel (COMMUNICATOR'S COMMENTARY OT)",1,"Chafin, Kenneth L.","[0849904137]",221
216699096,"Communicator's Commentary: 1, 2 Kings (COMMUNICATOR'S COMMENTARY OT)",1,"Dilday, Russell H.","[0849904145]",221.77
216699123,"The Communicator's Commentary: 1, 2 Chronicles (COMMUNICATOR'S COMMENTARY OT)",5,"Allen, Leslie C.","[0849904153]",221
216699139,"The Communicator's Commentary: Ezra, Nehemiah, Esther (COMMUNICATOR'S COMMENTARY OT)",5,"Roberts, Mark D.","[0849904161]",221
216699154,"The Communicator's Commentary: Ezra, Nehemiah, Esther (COMMUNICATOR'S COMMENTARY OT)",5,"Roberts, Mark D.","[0849904161]",221
216699161,"The Communicator's Commentary: Job (COMMUNICATOR'S COMMENTARY OT)",5,"McKenna, David I.","[0849904188]",221.77
216699187,"The Communicator's Commentary: Psalms 1-72 (COMMUNICATOR'S COMMENTARY OT)",5,"Ogilvie, Lloyd J.","[0849904196]",221.7
216699213,"The Communicator's Commentary: Psalms 73-150 (The Communicator's Commentary Series. Old Testament, 14)",5,"Williams, Donald M.","[084990420X]",221.7
216699233,"The Communicator's Commentary: Proverbs (Vol. 15A)",5,"Hubbard, David A.","[0849904218]",221
216699270,"Ecclesiastes, Song of Solomon (Communicator's Commentary Ot)(Vol. 15B)",1,"Hubbard, David A.","[0849907632]",221
216699271,"Ecclesiastes, Song of Solomon (Communicator's Commentary Ot)(Vol. 15B)",1,"Hubbard, David A.","[0849907632]",221
216699302,"The Communicator's Commentary: Isaiah 1-39",5,"McKenna, David L.","[0849904226]",224.1077
216699326,"Isaiah 40-66 (COMMUNICATOR'S COMMENTARY OT)",1,"McKenna, David L.","[0849911397]",224.1077
216699377,"The Communicator's Commentary: Jeremiah, Lamentations (COMMUNICATOR'S COMMENTARY OT)",5,"Guest, John","[0849904234]",224.2077
216699411,"Communicator's Commentary: Ezekiel (COMMUNICATOR'S COMMENTARY OT) (Vol. 18)",1,"Stuart, Douglas K.","[0849904242]",221
216699433,"Communicator's Commentary: Daniel",1,"Ferguson, Sinclair B.","[0849904250]",225
216699449,"The Communicator's Commentary: Hosea, Joel, Amos, Obadiah, Jonah",5,"Ogilvie, Lloyd J.","[0849904269]",221
216699478,"The Communicator's Commentary: Micah-Malachi (COMMUNICATOR'S COMMENTARY OT)",5,"Kaiser, Walter","[0849904277]",221.77
216699505,"The Communicator's Commentary Matthew",5,"Augsburger, Myron S.","[0849901545]",225.77
216699541,"The Communicator's Commentary: Mark",5,"McKenna, David L.","[0849901553]",226.3
216699574,"The Communicators Commentary: Acts",5,"Ogilvie, Lloyd J.","[0849901588]",225.7
216699614,"The Communicator's Commentary: Romans",5,"Briscoe, D. Stuart","[0849901596]",225.7
216699653,"The Communicator's Commentary: 1 And 2 Corinthians",5,"Chafin, Kenneth","[0849903475]",225
216699675,"The Communicator's Commentary: Galatians, Ephesians, Philippians, Colossians, Philemon (The Communicator's commentary series)",5,"Ogilvie, Lloyd J.","[0849901618]",225.77
216699709,"The Communicator's Commentary: 1, 2 Thessalonians - 1, 2 Timothy, Titus",5,"Demarest, Gary","[0849901626]",225
216699732,"The Communicator's Commentary: Hebrews",5,"Evans, Louis H.","[0849901634]",225
216699775,"The Communicator's Commentary : James, 1, 2 Peter, Jude",5,"Cedar, Paul A","[0849901642]",225.7
216699800,"The Communicator's Commentary: 1, 2, 3 John, Revelation",5,"Palmer, Earl F.","[0849901650]",225.77
216699904,"The Message: The Bible in Contemporary Language",5,"Peterson, Eugene H.",,220.5209
216699926,"The New Testament and Wycliffe Bible Commentary: Parallel Edition",5,"Monthly, Moody",,225.7
216699995,"The Gospel of John, Volume 1 (The Daily Study Bible Series, Revised Edition)",5,"Barclay, William","[0664213049]",226.5077
216700034,"The Gospel of John, Vol. 2",5,"Barclay, William","[0664241050]",225
216700042,"The Gospel of Matthew: Vol. 1, Chapters 1-10 (The Daily Study Bible Series, Revised Edition)",5,"Barclay, William","[066424100X]",226.2077
216700062,"The Gospel of Matthew: Vol. 2, Chapters 11-28 (The Daily Study Bible Series, Revised Edition)",5,"Barclay, William","[0664241018]",226.2077
216700081,"The Gospel of Luke",5,"Barclay, William","[0664241034]",226.4077
216700111,"The Gospel of Mark (The Daily Study Bible Series)",5,"Barclay, William","[0664241026]",226.3
216700137,"The Acts of the Apostles (Revised Edition)",5,"Barclay, William","[0664241069]",226.6
216700149,"The Letter to the Romans (The Daily Study Bible Series)",5,"Barclay, William","[0664241077]",227.1077
216700176,"The Letters to the Philippians, Colossians, and Thessalonians (Daily Study Bible (Westminster Paperback))",5,"Barclay, William","[0664241107]",227
216700194,"Letters to the Corinthians (The Daily Study Bible Series.--Rev. Ed) (English and Hebrew Edition)",1,"Barclay, William","[9780664241087]",227.2077
216700226,"The Letters to Timothy, Titus and Philemon (The Daily Study Bible Series)",5,"Barclay, William","[0664241115]",227.8077
216700249,"The Letter to the Hebrews (The Daily Study Bible Series) (English and Hebrew Edition)",5,"Barclay, William","[0664241123]",227.87
216700263,"Letters of John and Jude (The Daily Study Bible Series. -- Rev. Ed) (English and Hebrew Edition)",1,"Barclay, William","[066424114X]",227.94
216700286,"The Revelation of John, Vol. 1: Chapters 1 to 5 (The Daily Study Bible Series, Revised Edition)",5,"Barclay, William","[0664241158]",228.077
216700299,"The Revelation of John: Vol. 2 (The Daily Study Bible Series, Revised Edition)",5,"Barclay, William","[0664241166]",228.077
216700318,"A World of Imponderables: The Answers to Life's Most Mystifying Questions (Imponderables Series)",3,"Feldman, David","[1578660963]","031"
216700365,"Holy Bible: King James Version: Old Testament Genesis thru II Kings, Vol. 1",1,,"[0840726929]",220
216700382,"Holy Bible: King James Version: Old Testament Chronicles thru Malachi, Vol. 2",1,,"[0840726937]",220
216700402,"Holy Bible: King James Version : New Testament Sytle # 61",1,,"[0840701292]",225.52032
216700434,"Who's Who in the Bible: An Illustrated Biographical Dictionary (Reader's Digest)",1,"Association, Reader's Digest","[0895776189]",220.92
216700452,"The Oxford History of Christian Worship",5,"Wainwright, Geoffrey","[0195138864]",264.009
216700475,"Dictionary of Symbolism",1,"Biedermann, Hans","[0816025932]",302.23
216700483,"American Folklore, Penguin Dictionary of",1,"Axelrod Ph.D., Alan","[0670887528]",398.0973
216700513,"Larousse Dictionary of World Folklore",1,"Jones, Alison","[0752300121]",398.03
217111338,"The Real Mary: Why Evangelical Christians Can Embrace the Mother of Jesus",5,"McKnight, Scot","[1557255237]",232.91
217111755,"The Lost Gospel of Mary: The Mother of Jesus in Three Ancient Texts",5,"Mathewes-Green, Frederica","[1557255369]",232.91
217111783,"Jesus and Yahweh: The Names Divine",1,"Bloom, Harold","[1573223220]",232.906
217111798,"Sin Boldly: A Field Guide for Grace",1,"Falsani, Cathleen",,234
217111812,"Where Angels Walk",1,"Anderson, Joan Wester","[0345383389]",291.215
217111816,"Angels in Our Midst",1,"Editors, Guideposts","[0385475365]",235.3
217111819,"What Jesus Meant",1,"Wills, Garry","[0739474758]",232
217111838,"The Faithful Christian: An Anthology of Billy Graham",5,"Griffin, William","[1569776253]",230.044
217111853,"One Simple Act: Discovering the Power of Generosity",1,"Macomber, Debbie","[1439108935]",241.4
217111861,"Boundless Love",1,"Clairmont, Patsy","[0310236207]",242.643
217113617,"The Violence Within",5,"Tournier, Paul","[0060682930]",241
217114164,"For Everything a Season: Simple Musings on Living Well",1,"Gulley, Philip","[0060006285]",242
217114221,"Bumping into God: 35 Stories of Finding Grace in Unexpected Places",1,"Grassi, Dominic","[0829410317]",242
217114833,"A Diary of Prayer: A Treasury of the World's Most Inspiring Prayers",3,"Goudge, Elizabeth",,242.2
217116976,"The Prayer of Jabez: Breaking Through to the Blessed Life",5,"Wilkinson, Bruce H.","[9781576737330]",242.722
217117099,"Help, Lord! I'm Having a Senior Moment: Notes to God on Growing Older",1,"O'Connor, Karen","[1569552797]",242.65
217117293,"Help, Thanks, Wow: The Three Essential Prayers",1,"Lamott, Anne","[9781594631290]",242.4
217117706,"Front Porch Tales",1,"Gulley, Philip","[0641698461]",242
217118029,"A Man Called Peter",3,"Marshall, Catherine","[1683701798]",285.1092
217118091,"Sister Wendy on Prayer",1,"Beckett, Wendy","[030739381X]",248.32
217118177,"Light from Many Lamps",1,"Watson, Lillian Eichler","[0685200825]","082"
217118197,"Light from Many Lamps: A Treasury of Inspiration",1,"Watson, Lillian Eichler","[0671652508]","082"
217118249,"The Hymnal 1940 With Supplements I and II",5,"Episcopal Church, The","[0898690005]",782.27
217118343,"The Best Loved Hymns and Prayers of the American People",5,"Milligan, Harold Vincent",,245.2
217118423,"The Methodist Hymnal: Official Hymnal of the Methodist Church",5,"Church, Methodist",,245
217118475,"Lutheran Book of Worship: Pew Edition",1,"Augsburg Fortress Publishing","[080063330X]",264.041
217118612,"The Hymnal: The General Assembly of the Presbyterian Church in the United States of America 1933",5,"Dickinson, Clarence",,783.9
217118640,"Seeds From the Sower - How God Is Blessing a Couple Who Dare to Take Him At His Word",1,"Guido, Michael","[0840775954]",269.2092
217118661,"Everyday Sacred: A Woman's Journey Home",1,"Bender, Sue","[0062512897]",291.4092
217118678,"Then Sings My Soul: 150 of the World's Greatest Hymn Stories",1,"Morgan, Robert J.","[0785249397]",264.23
217118679,"Then Sings My Soul: 150 of the World's Greatest Hymn Stories",1,"Morgan, Robert J.","[0785249397]",264.23
217118709,"The Complete Book of Hymns",5,"Petersen, William","[9781414309330]",264.23
217118805,"DAG HAMMARSKJOLD - Markings",1,"Leif Sjoberg & W.H. Auden",,839.7874
217118864,"MARKINGS by DAG HAMMARSKJOLD Alfred a Knopf 1964 1981 36th HC",1,"Hammarskjöld, Dag",,839.7874
217118964,"When Love Isn't Easy",1,"Hobe, Phyllis Laura","[002551900X]",248.8
217119038,"The Road Unseen",5,"Jenkins, Peter","[0850759617]",280.40922
217119080,"Walking on Water: Reflections on Faith and Art",1,"L'Engle, Madeleine","[0877889198]",246
217119136,"Tough Times Never Last, but Tough People Do",1,"Schuller, Robert Harold","[0840752873]",248.4
217119227,"Journey into Joy",1,"DeKruyter, Arthur H.","[0800712196]",248.4
217119238,"Christian Mystics: The Spiritual Heart of the Christian Tradition",1,"King, Ursula","[068482423X]",248.2
217119287,"Life Sentence",1,"Colson, Charles W.","[0800750594]",248.20924
217119303,"Christian Mystics: The Spiritual Heart of the Christian Tradition",1,"King, Ursula","[068482423X]",248.2
217119473,"The Purpose Driven Life What on Earth am I Here For?",5,"Warren, Rick","[0310205719]",248.4
217119525,"Falling Upward: A Spirituality for the Two Halves of Life",1,"Rohr, Richard","[0470907754]",248.4
217119537,"Life's Not Fair But God is Good",1,"Schuller, Robert H.","[0840770987]",248.4
217119541,"Prodigals And Those Who Love Them",1,"Graham, Ruth Bell","[9781561790425]",248.4
217119582,"Freedom of Simplicity",1,"Foster, Richard J","[0060628324]",234.1
217119612,"Honest to God? : Becoming an Authentic Christian",1,"Hybels, Bill","[0310521807]",248.4
217119624,"A Closer Walk",3,"Marshall, Catherine","[0800790650]",248.4
217119704,"The Hole in Our Gospel: What Does God Expect of Us? The Answer That Changed My Life and Might Just Change the World",5,"Stearns, Richard","[0849947006]",248.4
217119715,"Serious Times: Making Your Life Matter in an Urgent Day",1,"White, James Emery","[0830832114]",248.4
217119720,"In Every Pew Sits a Broken Heart: Hope for the Hurting",1,"Graham, Ruth","[0310264006]",248.86
217119724,"When the Bad Times Are over for Good: Transforming Trouble into Triumph",1,"Mann, Gerald","[1561210986]",248.86
217119733,"The Tulip and the Pope: A Nun's Story",5,"Larsen, Deborah","[037541360X]",813.54
217119751,"Evangelical Is Not Enough",1,"Howard, Thomas","[0840753721]",264
217119798,"Christianity: The First Three Thousand Years",1,"MacCulloch, Diarmaid","[0670021261]",270
217119804,"Mission Possible: The Wonderful Story of God and a Wycliffe Translator in the Jungles of Papua New Guinea",1,"Laszlo, Marilyn","[0842338810]",266.0092
217119812,"Dawns Early Light",1,"Stowell, Joseph","[0802471714]",248.4
217119814,"The Cross in the Shadow of the Crescent: An Informed Response to Islam’s War with Christianity",5,"Lutzer, Erwin W.","[0736951326]",261.2
217119862,"Surgeon on safari",1,"Jorden, Paul J","[0801521475]",617.3
217119956,"Reaching for the Invisible God",1,"Yancey, Philip","[0310235316]",231.7
217119962,"Walking from East to West: God in the Shadows",1,"Zacharias, Ravi","[0310259150]",269.2092
217120025,"God's Bestseller: William Tyndale, Thomas More, and the Writing of the English Bible---A Story of Martyrdom and Betrayal",1,"Moynahan, Brian","[0312314868]",270.6092
217120036,"Soul Survivor: Why I am Still a Christian",1,"Yancey, Philip","[0385502745]",248
217120062,"A Simple Path",3,"Teresa, Mother","[0345397452]",271.97
217120085,"The God I Love: A Lifetime of Walking with Jesus",5,"Tada, Joni Eareckson","[0310240085]",277.30825092
217120108,"Head and Heart: American Christianities",1,"Wills, Garry","[1594201463]",277.3
217120164,"The Gift of Peace: Personal Reflections",5,"Bernardin, Joseph Cardinal","[9780829409550]",282.092
217120203,"Handbook of denominations in the United States",1,"Mead, Frank Spencer","[0687165687]",291.0973
217120294,"Catholicism by george brantl (1962-05-03)",1,,,230.2
217120933,"The evangelical Covenant Church",5,"Nyvall, David",,289.9509485
217121763,"Images in Covenant beginnings",1,"Hawkinson, Eric G",,
217122669,"A Family of Faith, 90 years of Covenant History",3,"Olsson, Karl A.",,284.7
217122826,"Beyond Church: The Gospel in American Life",1,,"[097472940X]",
217122860,"Prayer Is Good Medicine: How to Reap the Healing Benefits of Prayer",1,"Dossey, Larry","[0062514237]",291.43
217122973,"The Book of Mormon: Another Testament of Jesus Christ (Official Edition)",5,"Smith, Joseph","[0967686563]",289.322
217123012,"The Norse Myths (The Pantheon Fairy Tale and Folklore Library)",5,"Crossley-Holland, Kevin","[0394748468]",293.13
217123064,"Buddhism",1,"Gard, Richard Abbott",,294.3
217123267,"Hinduism (Great Religions of Modern Man)",1,"Renou, Louis (Ed. )",,294.5
217123306,"Judaism By Arther Hertzburg",1,"Hertzberg, Arthur",,296.082
217123337,"How Good Do We Have to Be?: A New Understanding of Guilt and Forgiveness",1,"Kushner, Harold S.","[9780316507417]",296.7
217123347,"Have a Little Faith: A True Story",1,"Albom, Mitch","[9780786868728]",296.7
217123365,"Mother Teresa: Come Be My Light - The Private Writings of the Saint of Calcutta",1,"Teresa, Mother","[0385520379]",271.97
217123424,"The Spirit World (American Indians)",5,"Woodhead, Henry","[0809494043]",299.7
217123447,"Out of This World: A Woman's Life Among the Amish",1,"Swander, Mary","[9780670858088]",811.54
217123497,"Comrades: Brothers, Fathers, Heroes, Sons, Pals",1,"Ambrose, Stephen E.","[0684867184]",920.710973
217123502,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",1,"Pinker, Steven","[0525427570]",303.44
217123521,"Old Friends",1,"Kidder, Tracy","[039571088X]",305.260973
217123584,"O Lutefisk",3,"Stangland, E. C.","[0961327413]",818.52
217123599,"Old Friends",1,"Kidder, Tracy","[039571088X]",305.260973
217123628,"Guide to Life After 50, 60, 70 and Beyond for Dummies",1,"Press, By the Authors and Editors at Dummies","[0764584782]",305.26
217123641,"Educated: A Memoir",1,"Westover, Tara","[0099511029]",270.092
217123651,"Plain and Simple: A Woman's Journey to the Amish",1,"Bender, Sue","[0062500589]",305.687
217123657,"What Are You Doing With the Rest of Your Life?: Choices in Midlife",1,"Hardin, Paula Payne","[0931432898]",305.244
217123677,"The Lost German Slave Girl: The Extraordinary True Story Of Sally Miller And Her Fight For Freedom in Old New Orleans",5,"Bailey, John","[0871139219]",306.362092
217123681,"Aging with Grace: What the Nun Study Teaches Us About Leading Longer, Healthier, and More Meaningful Lives",1,"Snowdon, David","[0553801635]",305.26
217123687,"The Girls from Ames: A Story of Women and a Forty-Year Friendship",5,"Zaslow, Jeffrey","[1592404456]",305.40922777546
217123706,"Inside the Kingdom: My Life in Saudi Arabia",1,"Bin Ladin, Carmen","[0446577081]",305.42092
217123709,"Breakfast at Sally's: One Homeless Man's Inspirational Journey",1,"LeMieux, Richard","[1602392935]",305.5
217123711,"Caste (Oprah's Book Club): The Origins of Our Discontents",1,"Wilkerson, Isabel","[0593230256]",305.5
217123733,"Acts of Faith: The Story of an American Muslim, in the Struggle for the Soul of a Generation",1,"Patel, Eboo","[080700622X]",305.6
217123739,"Cry, Thy Beloved Country",1,,"[0743262174]",823
217123744,"Wisdom of Our Fathers: Lessons and Letters from Daughters and Sons",1,"Russert, Tim","[9781400064809]",306.8742
217123784,"Debtor Unashamed: The Road to Mission Is a Two Way Street",1,"Almquist, L. Arden","[0910452768]",303.482
217123794,"Cry, Thy Beloved Country",1,,"[0743262174]",823
217123801,"Wisdom of Our Fathers: Lessons and Letters from Daughters and Sons",1,"Russert, Tim","[9781400064809]",306.8742
217123820,"Out of This World: A Woman's Life Among the Amish",1,"Swander, Mary","[9780670858088]",811.54
217123841,"Macy's: The Store, The Star, The Story",1,"Grippo, Robert M.","[0757002129]",381.1410973
217987373,"Cruising Through Retirement: A Road Map to Protect You from Wall Street Games, Ruinous Healthcare Costs and a Government Gone Wild!",1,"Law, Rick L.","[1633850560]",332.024
217987403,"Cruising Through Retirement: A Road Map to Protect You from Wall Street Games, Ruinous Healthcare Costs and a Government Gone Wild!",1,"Law, Rick L.","[1633850560]",332.024
217987510,"What Every Senior Should Know",1,"FC&A","[1935574302]",332.024
217987634,"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",1,"Browder, Bill","[147675571X]",332.6092
217987725,"The Lexus and the Olive Tree",5,"Friedman, Thomas L.","[0374192030]",337
217987771,"Damages: One Family's Legal Struggles in the World of Medicine",1,"Werth, Barry","[0684807696]",344.73
217987798,"The Innocent Man: Murder and Injustice in a Small Town",5,"Grisham, John","[0385517238]",345.76602523
217987837,"A Civil Action",3,"Harr, Jonathan","[0394563492]",346.7303
217987868,"The Lost Boy: A Foster Child's Search for the Love of a Family",5,"Pelzer, Dave","[1558745157]",362.76092
217987939,"Germs : Biological Weapons and America's Secret War",1,"Miller, Judith","[9780684871585]",358.38
217987944,"Operatives, Spies, and Saboteurs: The Unknown Story of the Men and Women of World War II's OSS",1,"O'Donnell, Patrick K.","[074323572X]",940.54
217987978,"Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant",1,"Tammet, Daniel","[1416535071]",362.196858820092
217987990,"Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic",1,"Beck, Martha","[0812929802]",809
217987997,"The Measure of Our Days: New Beginnings at Life's End",5,"MD, Jerome Groopman","[0670875708]",362.175
217988002,"Castaway Kid: One Man's Search for Hope and Home (Focus on the Family Books)",1,"Mitchell, R. B.","[1589974344]",362.73092
217988032,"ObamaCare Survival Guide: The Affordable Care Act and What It Means for You and Your Healthcare",1,"Tate, Nick J.","[0893348627]",362.10973
217988045,"Being Mortal: Medicine and What Matters in the End",1,"Gawande, Atul","[9780805095159]",362.17
217988057,"Making Rounds with Oscar: The Extraordinary Gift of an Ordinary Cat",1,"Dosa, David","[1401323235]",362.1756
217988078,"Slow Dancing with a Stranger: Lost and Found in the Age of Alzheimer's",1,"Comer, Meryl","[006213082X]",362.1968
217988086,"Joni: An Unforgettable Story",1,"Tada, Joni Eareckson","[0310211492]",362.43092
217988146,"Unplanned Parenthood:: The Confessions of a Seventy-Something Surrogate Mother",1,"Carpenter, Liz","[0679427988]",362.7
217988151,"The Wounded Spirit",5,"Peretti, Frank E.","[0849916739]",302.34
217988155,"There Are No Children Here",1,"Kotlowitz, Alex","[0385265263]",305.230977311
217988239,"Once Upon a Town: The Miracle of the North Platte Canteen",1,"Greene, Bob","[0060081961]",940.5378282
217988258,"The Glass Castle: A Memoir (Scribner Classics)",5,"Walls, Jeannette","[1439156964]",362.82092
217988269,"The Radium Girls:The Dark Story of America’s Shining Women (Harrowing Historical Nonfiction Bestseller About a Courageous Fight for Justice)",5,"Moore, Kate","[9781492649359]",363.17
217988275,"The God of Stones and Spiders: Letters to a Church in Exile",5,"Colson, Charles","[0891075712]",270.829
217988309,"Bitter Harvest: A Woman's Fury, A Mother's Sacrifice",1,"Rule, Ann","[0684810476]",364.152309781675
217988365,"The End of the Dream: The Golden Boy Who Never Grew Up and Other True Cases (Ann Rule's Crime Files, Volume 5)",5,"Rule, Ann","[0739401386]",364.16520973
217988375,"And Never Let Her Go : Thomas Capano: The Deadly Seducer",1,"Rule, Ann","[0684810484]",364.152309751
217988395,"Death at the Priory: Sex, Love, and Murder in Victorian England",1,"Ruddick, James","[0871138328]",364
217988409,"For the Thrill of It: Leopold, Loeb, and the Murder That Shocked Chicago",1,"Baatz, Simon","[9780060781002]",364.1523092
217988442,"Too Late to Say Goodbye: A True Story of Murder and Betrayal",1,"Rule, Ann","[0743238524]",364.1523092
217988455,"Birthright: The True Story that Inspired",1,"Ekirch, A. Roger","[0393066150]",364.154092
217988459,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",5,"Larson, Erik","[1617932868]",364.15230977311
217988461,"Blind Eye: How the Medical Establishment Let a Doctor Get Away with Murder",1,"Stewart, James B.","[0684854848]",364.15230973
217988483,"A Death in Belmont",3,"Junger, Sebastian","[0393059804]",364.1523097444
217988498,"Thunderstruck",1,"Larson, Erik","[9781400080663]",364.152309421
217988512,"Stolen Lives, Twenty Years in a Desert Jail",1,"Oufkir, Malika and Michele Fitoussi","[0786868619]",365.45092
217988520,"Stones into Schools: Promoting Peace with Books, Not Bombs, in Afghanistan and Pakistan",1,"Mortenson, Greg","[0670021156]",371.8234209581
217988576,"Tuesdays with Morrie: An Old Man, A Young Man and Life's Greatest Lesson",1,"Albom, Mitch","[0385484518]",378.12092
217988597,"Nothing Like It in the World: The Men Who Built the Transcontinental Railroad, 1863-1869",1,"Ambrose, Stephen E.","[0684846098]",385.0973
217988672,"Talk About America",1,"Cooke, Alistair",,917.3
217988684,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",1,"Truss, Lynne","[9781592400874]",428.2
217988716,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",5,,"[0060175966]",304.5
217988723,"Woe Is I: The Grammarphobe's Guide to Better English in Plain English",1,"O'Conner, Patricia T.","[0399141960]",428.2
217988736,"Swedish English English Swedish Dictionary",1,"Petti","[087052870X]",439.7321
217988746,"A Short History of Nearly Everything",3,"Bryson, Bill","[076790818X]",
217988798,"The Immortal Life of Henrietta Lacks",5,"Skloot, Rebecca","[1400052173]",616.02774092
217988818,"The Disappearing Spoon 1st (first) edition Text Only",5,"Author","[0316051640]",546
